ENSID	HGNC	PMID Gene-disease	Disease OMIM ID	Disease name	PMID Disease
ENSG00000173698	ADGRG2	27476656	300985	"Vas deferens, congenital bilateral aplasia of, X-linked"	27476656
ENSG00000113318	MSH3	27476653	617100	Familial adenomatous polyposis 4	27476653
ENSG00000166401	SERPINB8	27476651	617115	Peeling skin syndrome 5 	27476651
ENSG00000159082	SYNJ1	27435091	617389	"Epileptic encephalopathy, early infantile, 53"	27435091
ENSG00000107960	STN1	27432940	617341	Cerebroretinal microangiopathy with calcifications and cysts 2	27432940
ENSG00000185115	NSMCE3	27427983	617241	"Lung disease, immunodeficiency, and chromosome breakage syndrome"	27427983
ENSG00000196305	IARS	27426735	617093	"Growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy"	27426735
ENSG00000147065	MSN	27405666	300988	Immunodeficiency 50 	27405666
ENSG00000122550	KLHL7	27392078	617055	Cold-induced sweating syndrome 3	27392078
ENSG00000058262	SEC61A1	27392076	617056	"Hyperuricemic nephropathy, familial juvenile, 4"	27392076
ENSG00000093009	CDC45L	27374770	617063	Meier-Gorlin syndrome 7 	27374770
ENSG00000111199	TRPV4	27330106	617383	"?Avascular necrosis of femoral head, primary, 2"	27330106
ENSG00000169884	WNT10B	27321946	617073	"Tooth agenesis, selective, 8"	27321946
ENSG00000146038	DCDC2	27319779	617394	"Sclerosing cholangitis, neonatal"	27319779
ENSG00000103043	VAC14	27292112	617054	"Striatonigral degeneration, childhood-onset"	27292112
ENSG00000079335	CDC14A	27259055	616958	"Deafness, autosomal recessive 105"	27259055
ENSG00000163931	TKT	27259054	617044	"Short stature, developmental delay, and congenital heart defects"	27259054
ENSG00000089597	GANAB	27259053	600666	Polycyctic kidney disease 3 	27259053
ENSG00000104635	SLC39A14	27231142	617013	Hypermanganesemia with dystonia 2	27231142
ENSG00000071553	ATP6AP1	27231034	300972	Immunodeficiency 47 	27231034
ENSG00000159363	ATP13A2	27217339	617225	"Spastic paraplegia 78, autosomal recessive"	27217339
ENSG00000115317	HTRA2	27208207	617248	"3-methylglutaconic aciduria, type VIII"	27208207
ENSG00000205413	SAMD9	27182967	617053	MIRAGE syndrome 	27182967
ENSG00000204103	MAFB	27181683	617041	Duane retraction syndrome 3	27181683
ENSG00000114279	FGF12	27164707	617166	"Epileptic encephalopathy, early infantile, 47"	27164707
ENSG00000014216	CAPN1	27153400	616907	"Spastic paraplegia 76, autosomal recessive"	27153400
ENSG00000100726	TELO2	27132593	616954	You-Hoover-Fong syndrome 	27132593
ENSG00000174173	TRMT10C	27132592	616974	Combined oxidative phosphorylation deficiency 30	27132592
ENSG00000163382	NAXE	27122014	617186	"Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy"	27122014
ENSG00000111664	GNB3	27063057	617024	"Night blindness, congenital stationary, type 1H"	27063057
ENSG00000112541	PDE10A	27058447	616922	"Striatal degeneration, autosomal dominant"	27058447
ENSG00000112541	PDE10A	27058446	616921	"Dyskinesia, limb and orofacial, infantile-onset"	27058446
ENSG00000110060	PUS3	27055666	617051	"Mental retardation, autosomal recessive 55"	27055666
ENSG00000183762	KREMEN1	27049303	617392	"Ectodermal dysplasia 13, hair/tooth type"	27049303
ENSG00000101266	CSNK2A1	27048600	617062	Okur-Chung neurodevelopmental syndrome 	27048600
ENSG00000105771	SMG9	27018474	616920	Heart and brain malformation syndrome	27018474
ENSG00000103671	TRIP4	27008887	617066	"Muscular dystrophy, congenital, Davignon-Chauveau type"	27008887
ENSG00000197265	GTF2E2	26996949	616943	"Trichothiodystrophy 6, nonphotosensitive"	26996949
ENSG00000174227	PIGG	26996948	616917	"Mental retardation, autosomal recessive 53"	26996948
ENSG00000127463	EMC1	26942288	616875	"Cerebellar atrophy, visual impairment, and psychomotor retardation"	26942288
ENSG00000197122	SRC	26936507	616937	Thrombocytopenia 6 	26936507
ENSG00000164933	SLC25A32	26933868	616839	"Exercise intolerance, riboflavin-responsive"	26933868
ENSG00000161202	DVL3	26924530	616894	"Robinow syndrome, autosomal dominant 3"	26924530
ENSG00000103671	TRIP4	26924529	616866	Spinal muscular atrophy with congenital bone fractures 1	26924529
ENSG00000138303	ASCC1	26924529	616867	Spinal muscular atrophy with congenital bone fractures 2	26924529
ENSG00000119638	NEK9	26908619	617022	Lethal congenital contracture syndrome 10	26908619
ENSG00000085998	POMGNT1	26908613	617123	Retinitis pigmentosa 76	26908613
ENSG00000049246	PER3	26903630	616882	"Advanced sleep phase syndrome, familial, 3"	26903630
ENSG00000102900	NUP93	26878725	616892	"Nephrotic syndrome, type 12"	26878725
ENSG00000155561	NUP205	26878725	616893	"Nephrotic syndrome, type 13"	26878725
ENSG00000081307	UBA5	26872069	617133	"Spinocerebellar ataxia, autosomal recessive 24"	26872069
ENSG00000113083	LOX	26838787	617168	"Aortic aneurysm, familial thoracic 10"	26838787
ENSG00000183597	TANGO2	26805781	616878	"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration"	26805781
ENSG00000261456	TUBB8	26789871	616780	Oocyte maturation defect 2	26789871
ENSG00000115085	ZAP70	26783323	617006	"Autoimmune disease, multisystem, infantile-onset, 2"	26783323
ENSG00000091436	MAP3K20	26755636	616890	Split-foot malformation with mesoaxial polydactyly	26755636
ENSG00000139151	PLCZ1	26721930	617214	Spermatogenic failure 17	26721930
ENSG00000084693	AGBL5	26720455	617023	Retinitis pigmentosa 75	26720455
ENSG00000047578	KIAA0556	26714646	616784	Joubert syndrome 	26714646
ENSG00000072274	TFRC	26642240	616740	Immunodeficiency 46 	26642240
ENSG00000147133	TAF1	26637982	300966	"Mental retardation, X-linked, syndromic 33"	26637982
ENSG00000130347	RTN4IP1	26593267	616732	"Optic atrophy 10 with or without ataxia, mental retardation, and seizures"	26593267
ENSG00000147140	NONO	26571461	300967	"Mental retardation, X-linked, syndromic 34"	26571461
ENSG00000114988	LMAN2L	26566883	616887	"Mental retardation, autosomal recessive, 52"	26566883
ENSG00000011376	LARS2	26537577	617021	"Hydrops, lactic acidosis, and sideroblastic anemia"	26537577
ENSG00000104953	TLE6	26537248	616814	Preimplantation embryonic lethality	26537248
ENSG00000101310	SEC23B	26522472	616858	Cowden syndrome 7 	26522472
ENSG00000049130	KITLG	26522471	616697	"Deafness, autosomal dominant 69, unilateral or asymmetric "	26522471
ENSG00000144741	SLC25A26	26522469	616794	Combined oxidative phosphorylation deficiency 28	26522469
ENSG00000185100	ADSSL1	26506222	617030	"Myopathy, distal, 5"	26506222
ENSG00000116198	CEP104	26477546	616781	Joubert syndrome 25	26477546
ENSG00000006283	CACNA1G	26456284	616795	Spinocerebellar ataxia 42 	26456284
ENSG00000132600	PRMT7	26437029	617157	"Short stature, brachydactyly, intellectual developmental disability, and seizures"	26437029
ENSG00000154485	MMP21	26429889	616749	"Heterotaxy, visceral, 7, autosomal"	26429889
ENSG00000159110	IFNAR2	26424569	616669	Immunodeficiency 45	26424569
ENSG00000085382	HACE1	26424145	616756	Spastic paraplegia and psychomotor retardation with or without seizures	26424145
ENSG00000166326	TRIM44	26394807	617142	Aniridia 3	26394807
ENSG00000070018	LRP6	26387593	616724	"Tooth agenesis, selective, 7"	26387593
ENSG00000159579	RSPRY1	26365341	616723	"Spondylopeimetaphyseal dsyplasia, Faden-Alkuraya type"	26365341
ENSG00000169762	TAPT1	26365339	616897	"Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type"	26365339
ENSG00000154781	CCDC174	26358778	616816	"Hypotonia, infantile, with psychomotor retardation"	26358778
ENSG00000103335	PIEZO1	26333996	616843	"Lymphedema, hereditary, III"	26333996
ENSG00000124140	SLC12A5	26333769	616645	"Epileptic encephalopathy, early infantile, 34"	26333769
ENSG00000160695	VPS11	26307567	616683	"Leukodystrophy, hypomyelinating, 12"	26307567
ENSG00000145375	SPATA5	26299366	616577	"Epilepsy, hearing loss, and mental retardation syndrome"	26299366
ENSG00000255072	PIGY	26293662	616809	Hyperphosphatasia with mental retardation syndrome 6	26293662
ENSG00000236320	SLFN14	26280575	616913	"Bleeding disorder, platelet-type"	26280575
ENSG00000151348	EXT2	26246518	616682	"Seizures, scoliosis, and macrocephaly syndrome"	26246518
ENSG00000215301	DDX3X	26235985	300958	"Mental retardation, X-linked 102"	26235985
ENSG00000125877	ITPA	26224535	616647	"Epileptic encephalopathy, early infantile, 35"	26224535
ENSG00000148702	HABP2	26222560	616535	"Thyroid cancer, nonmedullary, 5"	26222560
ENSG00000225830	ERCC6	26218421	616946	Premature ovarian failure 11	26218421
ENSG00000119969	HELLS	26216346	616911	Immunodeficiency-centromeric instability-facial anomalies syndrome 4	26216346
ENSG00000161011	SQSTM1	26208961	617158	"Myopathy, distal, with rimmed vacuoles"	26208961
ENSG00000150540	HNMT	26206890	616739	"Mental retardation, autosomal recessive 51"	26206890
ENSG00000135535	CD164	26197441	616969	"Deafness, autosomal dominant 66"	26197441
ENSG00000073111	MCM2	26196677	616968	"Deafness, autosomal dominant 70"	26196677
ENSG00000165119	HNRNPK	26173930	616580	Au-Kline syndrome 	26173930
ENSG00000164209	SLC25A46	26168012	616505	"Neuropathy, hereditary motor and sensory, type VIB"	26168012
ENSG00000204897	KRT25	26160856	616760	"Woolly hair, autosomal recessive 3"	26160856
ENSG00000158615	PPP1R15B	26159176	616817	"Microcephaly, short stature, and impaired glucose metabolism 2"	26159176
ENSG00000167244	IGF2	26154720	616489	"Growth restriction, severe, with distinctive facies"	26154720
ENSG00000171453	POLR1C	26151409	616494	"Leukodystrophy, hypomyelinating, 11"	26151409
ENSG00000100578	KIAA0586	26096313	616490	Joubert syndrome 23 	26096313
ENSG00000171865	RNASEH1	26094573	616479	"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2"	26094573
ENSG00000167186	COQ7	26084283	616733	"Coenzyme Q10 deficiency, primary, 8"	26084283
ENSG00000134516	DOCK2	26083206	616433	Immunodeficiency 40	26083206
ENSG00000130363	RSPH3	26073779	616481	"Ciliary dyskinesia, primary, 32"	26073779
ENSG00000151779	NBAS	26073778	616483	Infantile liver failure syndrome 2	26073778
ENSG00000118217	ATF6	26063662	616517	Achromatopsia 7	26063662
ENSG00000166033	HTRA1	26063658	616779	"Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2"	26063658
ENSG00000207935	MIR204	26056285	616722	Retinal dystrophy and iris coloboma with or without cataract	26056285
ENSG00000177030	DEAF1	26048982	617171	"Dyskinesia, seizures, and intellectual developmental disorder"	26048982
ENSG00000189056	RELN	26046367	616436	"Epilepsy, familial temporal lobe, 7"	26046367
ENSG00000118217	ATF6	26029869	616517	Achromatopsia 7	26029869
ENSG00000113140	SPARC	26027498	616507	"Osteogenesis imperfecta, type XVII"	26027498
ENSG00000059573	ALDH18A1	26026163	616586	"Spastic paraplegia 9B, autosomal recessive"	26026163
ENSG00000130711	PRDM12	26005867	616488	"Neuropathy, hereditary sensory and autonomic, type VIII"	26005867
ENSG00000112414	ADGRG6	26004201	616503	Lethal congenital contracture syndrome 9	26004201
ENSG00000163359	COL6A3	26004199	616411	Dystonia 27	26004199
ENSG00000156171	DRAM2	25983245	616502	Cone-rod dystrophy 21	25983245
ENSG00000100379	KCTD17	25983243	616398	Dystonia 26	25983243
ENSG00000108813	DLX4	25954033	616788	Orofacial cleft 15	25954033
ENSG00000176619	LMNB2	25954030	616540	"Epilepsy, progressive myoclonic, 9"	25954030
ENSG00000105976	MET	25941349	616705	"Deafness, autosomal recessive 97"	25941349
ENSG00000065057	NTHL1	25938944	616415	Familial adenomatous polyposis 3	25938944
ENSG00000115902	SLC1A4	25930971	616657	"Spastic tetraplegia, thin corpus callosum, and progressive microcephaly"	25930971
ENSG00000138207	RBP4	25910211	616428	"Microphthalmia, isolated, with coloboma 10"	25910211
ENSG00000196557	CACNA1H	25907736	617027	"Hyperaldosteronism, familial, type IV"	25907736
ENSG00000171772	SYCE1	25899990	616950	Spermatogenic failure 15	25899990
ENSG00000122218	COPA	25894502	616414	"Autoimmune interstitial lung, joint, and kidney disease"	25894502
ENSG00000140694	PARN	25893599	616353	"Dyskeratosis congenita, autosomal recessive 6"	25893599
ENSG00000175213	ZNF408	25882705	616469	Retinitis pigmentosa 72 	25882705
ENSG00000143811	PYCR2	25865492	616420	"Leukodystrophy, hypomyelinating, 10"	25865492
ENSG00000165102	HGSNAT	25859010	616544	Retinitis pigmentosa 73	25859010
ENSG00000241973	PI4KA	25855803	616531	"Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis"	25855803
ENSG00000140694	PARN	25848748	616371	"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 4"	25848748
ENSG00000142178	SIK1	25839329	616341	"Epileptic encephalopathy, early infantile"	25839329
ENSG00000137822	TUBGCP4	25817018	616335	"Microcephaly and chorioretinopathy, autosomal recessive, 3"	25817018
ENSG00000090861	AARS	25817015	616339	"Epileptic encephalopathy, early infantile, 29"	25817015
ENSG00000103942	HOMER2	25816005	616707	"Deafness, autosomal dominant 68"	25816005
ENSG00000105738	SIPA1L3	25804400	616851	Cataract 45	25804400
ENSG00000104973	MED25	25792360	616449	Basel-Vanagait-Smirin-Yosef syndrome	25792360
ENSG00000147123	NDUFB11	25772934	300952	Linear skin defects with multiple congenital anomalies 3 	25772934
ENSG00000138696	BMPR1B	25758993	616849	"Brachydactyly, type A1, D"	25758993
ENSG00000166123	GPT2	25758935	616281	"Mental retardation, autosomal recessive 49"	25758935
ENSG00000247626	MARS2	25754315	616430	Combined oxidative phosphorylation deficiency 25	25754315
ENSG00000115266	APC2	25753423	617169	Sotos syndrome 3	25753423
ENSG00000131263	RLIM 	25735484	300978	"Mental retardation, X-linked 61"	25735484
ENSG00000072364	AFF4	25730767	616368	CHOPS syndrome 	25730767
ENSG00000083168	KAT6A	25728775	616268	"Mental retardation, autosomal dominant 32, "	25728775
ENSG00000039650	PNKP	25728773	616267	Ataxia-oculomotor apraxia 4 	25728773
ENSG00000178209	PLEC	25712130	616487	Epidermolysis bullosa simplex with nail dystrophy	25712130
ENSG00000110063	DCPS	25712129	616459	Al-Raqad syndrome	25712129
ENSG00000197106	SLC6A17	25704603	616269	"Mental retardation, autosomal recessive 48"	25704603
ENSG00000179151	EDC3	25701870	616460	"Mental retardation, autosomal recessive 50"	25701870
ENSG00000183735	TBK1	25700176	616439	Frontotemporal dementia and/or amyotrophic lateral sclerosis 4	25700176
ENSG00000069482	GAL	25691535	616461	"Epilepsy, familial temporal lobe, 8"	25691535
ENSG00000150961	SEC24D	25683121	616294	Cole-Carpenter syndrome 2	25683121
ENSG00000102452	NALCN	25683120	616266	"Congenital contractures of the limbs and face, hypotonia, and developmental delay"	25683120
ENSG00000084774	CAD	25678555	616457	"Epileptic encephalopathy, early infantile, 50"	25678555
ENSG00000197417	SHPK	25647543	617213	Sedoheptulokinase deficiency	25647543
ENSG00000169933	FRMPD4	25644381	300983	"Mental retardation, X-linked 104"	25644381
ENSG00000273820	USP27X	25644381	300984	Mental retardation 105	25644381
ENSG00000107201	DDX58	25620203	616298	Singleton-Merten syndrome 2	25620203
ENSG00000181873	IBA57	25609768	616451	"Spastic paraplegia 74, autosomal recessive"	25609768
ENSG00000162129	CLPB	25597510	616271	"3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia"	25597510
ENSG00000159140	SON	25590979	617140	ZTTK syndrome	25590979
ENSG00000072163	LIMS2	25589244	616827	"Muscular dystrophy, limb-girdle, type 2W"	25589244
ENSG00000139083	ETV6	25581430	616216	Thrombocytopenia 5 	25581430
ENSG00000185024	BRF1	25561519	616202	Cerebellofaciodental syndrome	25561519
ENSG00000146038	DCDC2	25557784	616217	Nephronophthisis 19 	25557784
ENSG00000125124	BBS2	25541840	616562	Retinitis pigmentosa 74	25541840
ENSG00000140854	KATNB1	25521378	616212	"Lissencephaly 6, with microcephaly"	25521379
ENSG00000111877	MCM9	25480036	616185	Ovarian dysgenesis 4	25480036
ENSG00000155816	FMN2	25480035	616193	"Mental retardation, autosomal recessive 47"	25480035
ENSG00000165370	GPR101	25470569	300943	"Pituitary adenoma, growth hormone-secreting 2"	25470569
ENSG00000135317	SNX14	25439728	616354	"Spinocerebellar ataxia, autosomal recessive 20"	24501761
ENSG00000197601	FAR1	25439727	616154	Peroxisomal fatty acyl-CoA reductase 1 disorder	25439727
ENSG00000197614	MFAP5	25434006	616166	"Aortic aneurysm, familial thoracic 9"	25434006
ENSG00000130299	GTPBP3	25434004	616198	Combined oxidative phosphorylation deficiency 23	25434004
ENSG00000155380	SLC16A1	25390740	616095	Monocarboxylate transporter 1 deficiency	25390740
ENSG00000091106	NLRC4	25385754	616115	Familial cold autoinflammatory syndrome 4	25385754
ENSG00000132639	SNAP25	25381298	616330	"Myasthenic syndrome, congenital, 18"	25381298
ENSG00000127824	TUBA4A	25374358	616208	Amyotrophic lateral sclerosis 22 with or without frontotemoral dementia	25374358
ENSG00000107815	TWNK	25355836	616138	Perrault syndrome 5	25355836
ENSG00000100412	ACO2	25351951	616289	Optic atrophy 9	25351951
ENSG00000128591	FLNC	25351925	617047	"Cardiomyopathy, familial restrictive 5"	25351925
ENSG00000142731	PLK4	25344692	616171	"Microcephaly and chorioretinopathy, autosomal recessive, 2"	25344692
ENSG00000167723	TRPV3	25285920	616400	"Palmoplantar keratoderma, nonepidermolytic, focal 2"	25285920
ENSG00000129810	SGO1	25282101	616201	Chronic atrial and intestinal dysrhythmia 	25282101
ENSG00000176915	ANKLE2	25259927	616681	"Microcephaly 16, primary, autosomal recessive"	25259927
ENSG00000163380	LMOD3	25250574	616165	Nemaline myopathy 10	25250574
ENSG00000104093	DMXL2	25248098	616113	Polyendocrine-polyneuropathy syndrome	25248098
ENSG00000198003	CCDC151	25224326	616037	"Ciliary dyskinesia, primary, 30"	25224326
ENSG00000091106	NLRC4	25217960	616050	Autoinflammation with infantile enterocolitis	25217960
ENSG00000091106	NLRC4	25217959	616050	Autoinflammation with infantile enterocolitis	25217960
ENSG00000015171	ZMYND11	25217958	616083	"Mental retardation, autosomal dominant "	25217958
ENSG00000102977	ACD	25205116	616553	"Dyskeratosis congenita, autosomal dominant 6, Dyskeratosis congenita, autosomal recessive 7"	25205116
ENSG00000101695	RNF125	25196541	616260	Tenorio syndrome 	25196541
ENSG00000143858	SYT2	25192047	616040	"Myasthenic syndrome, congenital, 7, presynaptic"	25192047
ENSG00000198003	CCDC151	25192045	616037	"Ciliary dyskinesia, primary, 30"	25192045
ENSG00000117528	ABCD3	25168382	616278	"Bile acid synthesis defect, congenital, 5"	25168382
ENSG00000158445	KCNB1	25164438	616056	"Epileptic encephalopathy, early infantile, 26"	25164438
ENSG00000135069	PSAT1	25152457	616038	Neu-Laxova syndrome 2 	25152457
ENSG00000083307	GRHL2	25152456	616029	"Ectodermal dysplasia/short stature syndrome, "	25152456
ENSG00000145675	PIK3R1	25133428	616005	Immunodeficiency 36	25488983
ENSG00000171135	JAGN1	25129144	616022	"Neutropenia, severe congenital, 6, autosomal recessive"	25129144
ENSG00000127884	ECHS1	25125611	616277	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	25125611
ENSG00000156831	NSMCE2	25105364	617253	Seckel syndrome 10	25105364
ENSG00000101680	LAMA1	25105227	615960	Poretti-Boltshauser syndrome	25105227
ENSG00000100246	DNAL4	25098561	616059	Mirror movements 3	25098561
ENSG00000153989	NUS1	25066056	617082	"Congenital disorder of glycosylation, type 1aa"	25066056
ENSG00000012660	ELOVL5	25065913	615957	Spinocerebellar ataxia 38	25065913
ENSG00000015133	CCDC88C	25062847	616053	Spinocerebellar ataxia 40	25062847
ENSG00000171772	SYCE1	25062452	616947	Premature ovarian failure 12	25062452
ENSG00000165059	PRKACG	25061177	616176	"Bleeding disorder, platelet-type, 19"	25061177
ENSG00000137411	VARS2	25058219	615917	Combined oxidative phosphorylation deficiency 20	25058219
ENSG00000179627	ZBTB42	25055871	616248	Lethal congenital contracture syndrome 6	25055871
ENSG00000168610	STAT3	25038750	615952	"Autoimmune disease, multisystem, infantile-onset, 1"	25038750
ENSG00000184584	TMEM173	25029335	615934	"STING-associated vasculopathy, infantile-onset"	25029335
ENSG00000139323	POC1B	25018096	615973	Cone-rod dystrophy 20	25018096
ENSG00000204922	UQCC3	25008109	616111	"Mitochondrial complex III deficiency, nuclear type 9"	25008109
ENSG00000168014	C2CD3	24997988	615948	Orofaciodigital syndrome XIV	24997988
ENSG00000141485	SLC13A5	24995870	615905	"Epileptic encephalopathy, early infantile, 25"	24995870
ENSG00000120699	EXOSC8	24989451	616081	"Pontocerebellar hypoplasia, type 1C"	24989451
ENSG00000111913	RIPOR2	24958875	616515	"Deafness, autosomal recessive 104"	24958875
ENSG00000068831	RASGRP2	24958846	615888	"Bleeding disorder, platelet-type, 18"	24958846
ENSG00000156876	SASS6	24951542	616402	"Microcephaly 14, primary, autosomal recessive"	24951542
ENSG00000250479	CHCHD10	24934289	615911	Frontotemporal dementia and/or amyotrophic lateral sclerosis 2	24934289
ENSG00000185900	POMK	24925318	616094	"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 12"	24925318
ENSG00000116783	TNNI3K	24925317	616117	Cardiac conduction disease with or without dilated cardiomyopathy	24925317
ENSG00000072042	RDH11	24916380	616108	"Retinal dystrophy, juvenile cataracts, and short stature syndrome"	24916380
